customer_tweet_id,customer_message,support_reply
2662920,"@SpotifyCares hi, I sent a message to you. Please kindly help, thanks! 🙂",@750472 Hey Dyna! We've just sent you a DM. Let's continue chatting there /NS
2312355,"@115888 I listen to mostly rap lately and there's no rap on it, I listen to one indie song and it's ALL indie",@670591 Hey! Your Discover Weekly should improve as it gets to know you. Keep adding your fav tracks to Your Library/playlists /AK
860232,@SpotifyCares It’s ok i found a work around when I didn’t hear back within a few hours.  Thanks anyway,"@324251 Nice! We're glad it's working now. Let us know if you need anything else, we'll be right here /RV"
1094849,"@115888 @SpotifyCares am having issues joining a family plan, would you help?",@378348 @115888 We've just sent you a DM 🙂 /PX
1827051,@SpotifyCares Yes that's not cool. Can't agree more. Nope. Everything is fine on my side. Downloading everything again so... Grrrr,"@548374 OK. Just in case, that link can explain what could've happened and which steps to take next to prevent this from happening in the future /GK"
1098719,"Hey @SpotifyCares, @3072 and @5795. That last tweet is for you too https://t.co/SbaXzWA9bZ","@379266 Hi there. We're sorry you feel that way. We appreciate your feedback on this, and we'll be sure to pass it on to the right team /LM"
1272285,"@SpotifyCares Hey, the issue's all fixed now. My card was charged today. Thanks! 👍",@417820 Awesome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /NQ
2653070,"@SpotifyCares Done. Thank you. In the meantime, I also have a suggestion that might help those like me with this problem: I'd love to see a way to alphabetize my ""All Songs"" category on the app so I can easily eliminate duplicate songs to allow for more space.",@748203 No worries! You can sort Your Songs by Title with these steps: https://t.co/5hjtm5AdqM. This rearranges the tracks alphabetically. Hope this helps /KB
2936263,@115888 Is anything up with your servers today? Just wondering because I miss you! Haha https://t.co/xakatJ7F2I,"@811744 Hey. We had a little hiccup earlier, but everything should be running as smooth as Smooth Jazz now! /CE"
760596,Still waiting for the day GOT7 will be on  @117168 @115888,@301744 We'd love to have them on Spotify! Hopefully we will in the future. Check this out: https://t.co/MEjmIRL2eB /BE
61179,"Alright, @115888 time to add No Phun Intended, and Regional at Best to @130008 albums 👍🏼 alright, cool",@130007 Hey there! Could you let know what country your Spotify account is set to? We'll check it's availability /GU
2520932,@SpotifyCares hey Spotify. Im an artist trying to get verified. Help please 🙏,@718042 Hey there! You can request for verification at https://t.co/aR6VNZNfsw. Hope this helps 😁 /NS
689583,Hi @115888 @SpotifyCares please check your dm!!! Badly needed your help,@284783 Hey Ericson! We've just sent a DM your way. We'll carry on chatting there 🙂 /Q
552683,@SpotifyCares I received a notification on your annual premium subscription but logged in and can’t find how I can take advantage of this,"@248881 Hey, help's here! Can you DM us your account's email address along with a screenshot of the page you're seeing when you clicked on the emailed link for the offer? We'll take a closer look /RR https://t.co/ldFdZRiNAt"
576176,@137949 @SpotifyCares Has a recent update broken playing Spotify on a Sonos Play1 using Spotify Connect from the Spotify app? #whoistoblame,"@255582 Hey there! Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /RC"
1870997,@115888 can you please stop losing all of my downloaded songs on pc? thank you,@558770 Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/38J7tFlIBF. They should help with this 🙂 /CG
1877698,@115888 how do I sign up for unlimited on my iPhone,"@560487 Hey! Unlimited may not be available for you at the moment, but we can take a closer look at your account if you DM us your username /MT https://t.co/ldFdZRiNAt"
1855626,"@555084 @SpotifyCares The licence fee-payer thanks you, Ellie!",@555076 Anytime! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /MX
1799488,@SpotifyCares I have access to an artist’s account that I shouldn’t have access to in spotify for artists &amp; dont see how I can delete myself,@248048 Hi! Our friends in Artist Support are the right folks to help with this. You can get in touch with them here: https://t.co/p1wbtdELHu /MT
1102951,@115888 why do my playlists always have 1 or 2 less songs in them than the mobile app says?  PC has the correct number...,"@380269 Hey Cameron! Does logging out, restarting your device, and logging back in help at all? /LO"
2765072,@SpotifyCares Thanks man i send a iinquiry hope i cn get on spotify man be sick,"@773366 Fantastic! If you ever need anything else, just shout and we'll come running 🏃 /MX"
44377,@115888 Howwww :(((,"@776958 Hey Patrissia, help's arrived! To take advantage of this offer, you must not have had a Premium subscription in the past. Check out more details at https://t.co/Gp5xcUoTsa. We hope this helps /DI"
1966378,Thank you so much @SpotifyCares you guys go above and beyond!,"@582774 You're welcome and thanks for the kind words! By the way, you might've missed our DM. Check out your messages /JP"
482486,@115888 If i’m a current premium user. Can i have this?,@270310 Hey Ben! Can you DM us your account's email address? We'll take a look backstage /SJ
1794140,"@SpotifyCares Hey, I can't play any @124708 songs today? I get an error ""This song is not available"" Have they been pulled from the UK?","@539150 Hi Cliff, that doesn't sound good. Could you send over your account's username or email address? We'll take a look backstage /JO https://t.co/ldFdZRiNAt"
2312367,@115888 Maybe it is just Chrome but I see no button designed to specifically search my music library. https://t.co/DefKsF8rVI,@670593 Hi! This sounds like a great idea! Suggest it in our Community at https://t.co/rtDvYZOF32 and get support from other users /GT
2970798,"@SpotifyCares That worked, thank you!",@819438 You're welcome! Let us know if you ever need us again. We'd be happy to help. https://t.co/m4HWSbgHVZ 🙂 /LO
874036,@38621 charged from my card but didnt upgrade my account since it says my student status cant be verifyed,@327502 Hi there! We've just replied to your DM. We'll carry on helping out there /JX
2038745,@115888 no Spotify service in Egypt. Just saying. 😤,@602825 Hey! We're launching in new countries as often as possible. Be sure to add your email at https://t.co/X8DVSX9QgM to be first to hear /AY
664264,"@181186  Hey Spotify MY , The car horn ad is just noise pollution to someone blasting music. It seriously hurts the ears, pls remove pls",@278312 Hey! We appreciate your feedback on this. We'll be sure to pass it on to our Ads team /AY
2306928,Wtf why isn’t Julian Alvarez on @115888 anymore?????,"@669232 Hey, thanks for reaching out! There's some info on Spotify content here: https://t.co/0i8GpimuDa /AR"
2306186,@SpotifyCares Nope 😞,@669054 Best thing to try here is a reinstall. Just follow the steps at https://t.co/EqisDMwZAT. See if that helps /RH
321501,"@SpotifyCares done, thank you.",@192596 We've just replied to your DM. Let's carry on chatting there /KM
1191878,spotify should fr add an alarm setting to their app like i want to wake up to my favorite music but im also broke as hell @115888,"@400137 Hey Ashton, a sleep timer is a great idea! Help make it happen by adding support here: https://t.co/pMmX7wXq24 /HC"
2128536,@SpotifyCares Thank you!,"@626613 You're welcome! If there's anything else we can help with, just give us a shout. https://t.co/m4HWSbgHVZ 💚 /NG"
821819,@115888 why does the app crash everytime I try to share a song/playlist?,"@315759 Hey Brandon! Don’t worry, we can help. Can you let us know the device/OS you’re using? /MX"
2916568,"@SpotifyCares Alright, thanks for the response",@807280 You're welcome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /RB
2265060,Why @115888 do you not have #reputation,"@659332 Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /GK"
816521,"@SpotifyCares Why do all of my songs sound like they're on ket? Literally everything's playing at like 2x speed, lads help",@314447 Hey Joel! That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /SU
2692975,Ugh i can't get my stranger things mode to work @115888 https://t.co/YLWQPzXxZh,"@756949 Hey there, we're here to help! Could you give this playlist a listen to see if it helps: https://t.co/4cQt9Vn0ec? Let us know /TB"
2183047,"Hey @115888, pretty sure Friday is tomorrow...? CC @117168 @SpotifyCares https://t.co/bZTuvGdpCr","@639471 Hey Wil! Does logging out of your account, restarting your device, and logging back in help at all? Let us know how it goes /TF"
2523586,@115888 where is the iPhone X Spotify update?,"@718656 Hey! We’re working on it as we speak. Stay tuned, and give us a shout if you need anything else /RB"
1252715,@SpotifyCares I tried this. It seemed like it worked at first but it's back to doing the same thing.,@413857 Thanks for trying. Could you send us your account's email address or username via DM? We'd like to check further /RK https://t.co/ldFdZRiNAt
43447,"Please consider accepting #BitcoinCash for payments @spotifycares - it’s fast and secure, with low fees! More @ https://t.co/YsDKU63vw3",@125636 Hey Vixzer! We can see how that’d be useful! You can vote for the official idea here: https://t.co/snIzzj29Vz /TF
2919421,hi @115888 please fix your app the new update killed it https://t.co/W8tEGoTRnh,@808052 Hey there! Everything should be running smoothly now. Let us know if this is still happening /GS
2027303,@SpotifyCares How often do the genres of my daily mixes get updated?,"@599510 Hi Josh! They're determined by algorithms. As your music taste evolves, so do the mixes. There's more here: https://t.co/OCqPV5UbGd 🙂 /T"
1632119,@SpotifyCares  Check out these awesome Christmas tracks just waiting for a playlist add. https://t.co/skpNUfuQFp,@283473 Hey Lance! Our Curation team are independent so there's no formal submission process. Check out https://t.co/Ackn8bZUwo to help you gain visibility /K
50627,@SpotifyCares Same person) or a song followed by the remix of the same song. So frustrating I want random shuffle! It's the most recent app update on iOS,"@127359 That's odd. Just to check, does it do the exact same thing when you shuffle it again? /MU"
2297991,@SpotifyCares Hi it’s fine I rectified it 👍,"@667079 Cool! Just give us a shout if you need us again. For now, happy listening 🎶 /GT"
2691957,@SpotifyCares Yooo!!! You rock 🤘 https://t.co/KrNfhqGQWw,@382883 Thanks. We’re working on it at the moment. We're always trying to improve Spotify. Stay tuned /BE
2065478,Nice to know I have a day left on my @115888 premium but they've ripped me off and cut it off too early.,@610806 Hey! Sorry to hear that. Can you DM us your account's username or email address? We'll take a look under the hood /JS https://t.co/ldFdZRiNAt
634352,@SpotifyCares Does Spotify Mac do a fade in on play if it’s been idle for a while or is it my amp? Cross fade tracks is off in the settings.,"@270402 Hi Joris, help's arrived! Just to check, do you hear fade in while playing music on other speakers? Let us know /TY"
2646422,"Spotify, if I find a new artist, the last thing I want to hear is a commentary album by this artist.","@746661 Hey! We hear you loud and clear. We can’t make any promises, but we’ll pass your feedback onto the right folks. Let us know if you need help with anything else /MO"
927653,@115888 I can't seem to login my account on your website but I can login with my phone app and my desktop WHY??? Can you pls check??,@340097 Hi Phillip! Can you DM us your account's username or email address? We'll take a look backstage /MC https://t.co/ldFdZRiNAt
820766,Has anyone else’s #ios11update fucked up the volume with @115888 ?!,@315500 Hey Abi! That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /MX
1548924,@115888 hey can you guys make an update where i can upload pictures + descriptions on playlists on the app,@479479 Hey Miranda! We'll gladly let the right folks know it's something you'd like to see. Give us a shout if you need us 🙂 /BH
2397306,"Seriously @116130 @SpotifyCares if I hear that Sam Smith advert again (it's been played three times the past hour) I'm subscribing to Apple Music even though that will mean I have to use iTunes. Yes, it's that annoying!","@568041 Hi! Thanks for your feedback - we'll pass it on. For now, check out https://t.co/zgnxs5kPEu if you haven't had a subscription before /GK"
1802412,"Hey, @115888, can you guys NOT raise the volume on the ads?! Are you trying to rupture my ear drums?","@324170 Thanks for your feedback - we'll pass it on. For now, check out https://t.co/zgnxs5kPEu if you haven't had a subscription before /HC"
1942510,@SpotifyCares So will it still be free?,"@577598 Just to clarify, are you referring to the Starbucks promo? /MT"
648657,"@SpotifyCares That doc doesn't include an Edit section for android, because it isn't possible on android, and that's ridiculous.",@274162 Sorry for the confusion. We're afraid editing playlists isn't currently possible on Android devices. We'd suggest adding your support for the idea in our Community at https://t.co/cxqCh7BOea /AR
634052,El oh vee eeeee &amp; affection 💓  https://t.co/I1B3M4Pcze,"@270315 Aww, how sweet! You've made us blush. We feel so... https://t.co/GGsiYakp7I 💚 /LX"
211098,@SpotifyCares Hello! I did as you said and it still only shows 3 people I follow :O,@166000 Got it. Could you check if following the steps at https://t.co/46sWVpIvlI does the trick? /DV
2750595,@SpotifyCares please Direct message me. Can’t reach out to anyone at your company about some fraudulent charges.  0 points for customer service at this point.,@770078 Hey John! Can you DM us your account's email address? We'll check things out /KC https://t.co/ldFdZRiNAt
2259677,@115888 @SpotifyCares Help! I signed up for Spotify for Students but I was charged twice at the same time :/ What can I do?,@162163 Hi there! We've just sent you a bit more info over DM. We'll carry on helping out there /MT
1884064,"@SpotifyCares I just renewed my subscription through Rogers, but it hasn't reflected on my account yet. Just curious how long it'll take?",@562177 Hey Kyle! Could you send us a DM with your account's email address or username? We'll take a look backstage /FR https://t.co/ldFdZRiNAt
708724,"Hi @115888, I accidentally listened to a mumble rap song last week, now my whole Discover Weekly playlist is mumble rap. How do I reset it?","@289428 1: Hi Ryan! We're afraid it's not possible to reset it at the moment. Don't worry, it’ll be re-tuned on Monday. Just keep listening..."
93860,"@SpotifyCares got PW reset message, follow link, enter new password but then get this message. Generate new reset e-mail, same thing. Happening on Chrome and Firefox. Help? https://t.co/7AATasWWBZ","@136353 Hey Sebastian, help's here! Could you send us a DM with your account's email address or username? We'll take a look backstage /CO https://t.co/ldFdZRiNAt"
2545889,"@115888 just took “Take Care” the album off spotify over night, put that shit back up!","@723623 Hi Randy! Are you referring to Drake's album? If not, can you tell us the name of the artist whose album you're looking for? /RR"
1450243,@115888 @116130 @125633 @117168,@456527 Hey there! This sounds like something for our Artist Services team. You can reach out to them here: https://t.co/3j9HWSEG0s /KP
1175729,Why does @115888 just stop playing my music every 5 min? I can't work with this.,"@396567 ¡Hey there! Can you tell us what device, operating system and Spotify version you're using? /LF"
1872865,@115888 I would appreciate it if things like Dark Horse didn’t play when I hit shuffle on Harry Styles’ album. Thank you.,@559237 Hey Morgan! Could you let us know your account's email address or username via DM? We'll check backstage /RK https://t.co/ldFdZRiNAt
1682039,@SpotifyCares Is there a way to stream @115888 from my Apple Watch3 over LTE without using my phone? I don't want to switch to @115948,"@511351 Hey Thom! We're afraid this isn't possible now, but you can vote for the idea here https://t.co/SEK4E4gi22 /JP"
2583359,@SpotifyCares I am trying to cancel my free trial before I get charged but it is telling me I have no subscriptions and therefore there's no cancel option. I def got free trial and am worried I will be charged.,"@732088 Hi Georgie, help's arrived! Can you DM us with your account's username and email address? We'll check it out /WW https://t.co/ldFdZRiNAt"
2646371,@SpotifyCares I’m on the latest version updated for iPhone X. These issues were present prior to the update for me as well.,@746642 Thanks for letting us know. Does restarting your device make any difference? Let us know how it goes /XF
1276544,The @115888 Halloween playlist without any White Zombie or Rob Zombie is an epic fail. You can't get any more Halloween than that!!!,"@418795 Hi! Our Curation team are independent &amp; use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion /AU"
1944508,@115888  Ummmmmm  I'm looking for a 7/11 or Walmart that sells the Spotify card I already went to 5 stores.... What's the deal?,"@578060 Hey! You can find a list of locations at https://t.co/lkSzo0fVNB, but we'd recommend reaching out to the retailers for availability /DD"
1109711,@SpotifyCares hi. When will the iPad app layout be fixed? Blowing up the UI from iPhone is not cool or acceptable. I miss the two panels. :/,"@381881 2: by adding your vote here: here: https://t.co/ummyhZpk6f. If you need anything else, just give us a shout 💚 /KC"
2582050,"@SpotifyCares what should I do ? someone has gained access after 3 times
. I have reset my password and logout everywhere already but it didn't work. can you help me?",@731777 Hey there! Can you send us a DM with your account's email address? We'll check this out backstage /CE https://t.co/ldFdZR1cbT
2747469,@SpotifyCares Thanks!,"@769325 You're welcome! If you ever need us again, know that we're always... https://t.co/zOXI69QSqg 🙂 /AR"
1189843,@SpotifyCares I can’t login. When I press the login button it just doesn’t do anything. - iOS App,@399662 Hi there! Help's here. Can you try restarting your device to see if it makes a difference? Keep us posted /MU
2545867,"@SpotifyCares Aha, the ""new window"" did the trick! So you will still get my money in the future 🙂 Thx for helping out.","@723618 Awesome, that's what we like to hear! If you need us again, just... https://t.co/AUc7DGJpgF, and we'll come running 🏃 /CP"
2746365,why spotify on ios is acting weird?? 🤬,@769055 Hey! We'd love to help. What's happening exactly? Can you fire over the device's make/model and the iOS/Spotify versions you're using? We'll see what we can suggest /JS
1875286,@115888 let's get my Single Be My Girl on a cool playlist!!,"@559827 Hey! Our Curation team are independent &amp; use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion /JL"
1144399,@115888 @SpotifyCares y'all need to fix this asap,@229752 We hear you! Your feedback has been noted and passed onto the team 👊🏼 /MX
1972500,finally got Spotify to work n now could greet of happiness,"@584230 Woohoo, that's what we like to hear! Give us a shout if you need us again, otherwise... https://t.co/SkdXv2BhCb /CG"
1520023,@SpotifyCares Also... why do my playlists add random songs (usually by same artist as my playlist songs) on mobile (android) but not when I listen to them via the web app? Cheers,"@472547 1: Hey James! Check out https://t.co/zgnxs5kPEu if you've never had a subscription/trial before. Also, Suggested Tracks are part of the..."
2203796,@SpotifyCares Is Taylor Swift's Reputation album going to be available at midnight? (Read a report that said it wasn't going to be).,@644391 Hey! We’ll have it available to you as soon as it’s available to us! https://t.co/0i8GpimuDa /DF
1851707,@SpotifyCares If I wanted to shuffle my last 50 songs I would just play them because they are recent. I want to shuffle ALL my songs,"@554225 1: The ""Random"" button mentioned in the link was a suggestion from one of our Community members. By the way, could you..."
2275497,Why when I click login on the Spotify app it just stays there it doesn’t let me sign in @115888,@661839 Hey Christopher! Could you send us a DM with your account's email address or username? We'll take a look backstage /LO https://t.co/ldFdZRiNAt
2964662,@SpotifyCares hey your lyrics for You’re Beautiful by James Blunt are wrong he doesn’t say flying high he says fucking high,"@817961 Hey there, thanks for the keen eye! Drop an email to __email__, and they’ll check this out for you /CH"
2688281,@spotifycares @115888 I don't want to be part of you Spotify Community &amp; receive New Rank Congratulations!! I want my premium account back!,@755885 Hey! Help's here. Can you DM us your account's username or email address? We'll take a look backstage /TC https://t.co/ldFdZRiNAt
2774586,"@118266 malam min, mau tanya itu akun spotify premium saya kok tiba tiba ilang ya? pas mau login ke logout otomatis","@775426 Hey! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /AU"
2899854,"@SpotifyCares Hi, on the track ""Ma Story"" (Caballero &amp; JeanJass) the featuring ""Angele"" is wrong, it's actually Angèle : https://t.co/PxmTEuPHhW",@803340 Got it! We'll get this reported. Great detective work 🔍 https://t.co/LpsmyUtme0 /GT
963341,@115888 @117168 @SpotifyCares hire him and do it now https://t.co/U05xEvMEm8,@348617 Hey! We'd love to have him on the team. You can check out job opportunities here: https://t.co/c1Z94oBFOl /DD
1358992,@SpotifyCares Nope,"@436842 Just to check, does the issue happen over 3/4G, WiFi, or both? /AG"
1520007,"@SpotifyCares I shouldn't need to do that, i'm happy with the number i have",@472543 We understand. We'll pass this feedback on to the appropriate team /TF
1231500,@SpotifyCares Thank you. I’ve dropped @159550 an email 🤞🏾,@408853 Awesome! Let us know how it goes. We'll be happy to help /DV
630453,@SpotifyCares It sends me here https://t.co/q1mkaiOuQY,@269394 Got it. You can subscribe to Premium by heading here: https://t.co/08kG2GBNp5. Let us know how it goes /AN
903062,@SpotifyCares I'm having problems with my Premium Family account.  Two of my family members have been unable to sign in.,@334379 Hi Marsha! Help's on its way. Can you DM us the email addresses registered in both yours and your family members' accounts? /DD https://t.co/ldFdZRiNAt
2322415,"@115888 If I'm paying for premium, why am I still getting adverts on podcasts?!",@672953 Hey! Could you send us your account's email address or username via DM? We'll take a look backstage /AY https://t.co/ldFdZRiNAt
1981472,@SpotifyCares glad I’ve been paying for Spotify+Hulu premium for students even though Hulu won’t connect to my account #Spotifysucks,@586530 Hey Joe. We're sorry you feel that way. Could you send us a DM with your account's email address so we can take a look under the hood? /LS https://t.co/ldFdZRiNAt
1815098,@SpotifyCares yoo where will Varleys albums at?,"@545252 Hey Matthew! We’d love to have all of his stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /CH"
2786626,@117168 @SpotifyCares @115888 is there a valid reason why I can't edit the order of my playlists on my Android device? That should really be something catered to all devices.,"@777980 Hey Jacob! We'd love to help. You can edit playlist order by logging into Spotify from a desktop. We also see how that’d be useful on your Android. We’d recommend posting it in our Community, where you can get support from other fans: https://t.co/rtDvYZOF32. Stay awesome 😁 /TI"
2815056,@SpotifyCares facebook login not working help pages don't help plz help thanks,@421270 Hey! We've just sent you a DM. Check your inbox /RH
2707043,@115888 going to try get more targeted ads soon? You have my interests from Facebook and all the songs I've liked. Use that data for more personalized ads,@760239 Hey Kevin! Thanks for the feedback – we appreciate it. We’ll get this passed onto the right team /RA
2895455,"@SpotifyCares Windows 10, 1.0.68.407.g6864aaaf","@802394 Got it. Just to check, does logging out then logging back in help at all? /PB"
2144248,can’t find a decent punk rock playlist on @115888,@630432 Hey there! You mean you couldn't find one until now.. https://t.co/SNxgJ48mUo 🙂 /JI
418866,"@115888 @SpotifyCares @117168 Why do you continue to not support ""Block stalker""? You are now bad as @123765! https://t.co/gQQeNfu7EI",@214905 2: Hopefully this is something we'll be able to implement in the future /NS
2552697,"Lol something went wrong with my @115888, but i don't mind https://t.co/U66GWJyZcw","@725073 Hi Hayley! Just in case, we'd suggest logging out &gt; restarting your device &gt; logging back in to refresh the app. Otherwise, let us know if we can help with anything else /MU"
1803465,@115888 reply to my tweet FFS. 😒,"@148084 We'd like to help out, but could you let us know what's going on first? You can send us more details via DM as well /NJ https://t.co/ldFdZR1cbT"
2483221,@709454 @115888 Hey @SpotifyCares put chance the rappers entire discography on there while you’re at. Coloring book is 10/10 but so is acid rap and 10 day,"@712380 Hey! We’d love to have all of his stuff available, but we have some info about content here: https://t.co/0i8GpimuDa /AR"
1877822,@115888 why am i getting 2 ads in a row?,"@560526 Hi! Thanks for your feedback - we'll pass it on. For now, check out https://t.co/zgnxs5kPEu if you haven't had a subscription before /RB"
274497,@SpotifyCares the problem hasn't been fixed,@181577 Hey! It seems the track was removed because of licensing or other legal issues. Hopefully we'll have it available again soon /NQ
2030999,"Hey @SpotifyCares if my Spotify was made with facebook, can other people find my facebook through my Spotify? Can I change my display name?",@600564 Hi there! We have some useful info here: https://t.co/fI2NF40484. You can also check this out: https://t.co/d4d2bNBxus. Hope this helps /NY
2752819,@115888 you should add a functionality: sort tracks by bpm. #asap,@770622 Hey there! This sounds like a great idea. You can show your support for this here: https://t.co/7qXM7TUxUt /CE
1905165,"Its taking @115888 a while to get ""Already Dead"" up but it'll be there eventually dudes. #alreadydead","@567715 Hey there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /RS"
2738284,"@SpotifyCares Hi, my payment to Spotify went through, yet I get a notification that it was unable to charge me? https://t.co/qARR01axty","@767249 Hey there, help's here! Could you shoot us a DM with your email address or username? We'll check it out 🔍 /AV https://t.co/ldFdZRiNAt"
1131541,"Sorry @115888 but I get so wound up ... Why can't I see my 'phone queue on my PC, when both are signed on to the same account?",@386660 1: Hi! We're afraid it's not possible to stream music on 2 different devices simultaneously. That's why you're unable to see the play queue.
796692,@SpotifyCares It is an #amazing album. @35357 at his finest,@309982 We'd love to have it on Spotify! Fingers crossed it'll soon be available to us 👍 /RK
2259698,@115888 @SpotifyCares Blah... moved to Apple music for now since you’re taking your sweet time to update app for IPhone X...,@657996 Hey Joel We understand - we’re working on it as we speak. Stay tuned! /JX
2714229,@SpotifyCares could you please do something about this???,@761954 Hi there! Can you DM us the links to the profiles? Just tap the three dots &gt; Share &gt; Copy Link. We'll check backstage /AP https://t.co/ldFdZRiNAt
2815933,.@SpotifyCares @115888 I️ think that there should be an option to stay in the app or window and watch the add for an hour of ad free music!,@785032 Hey there! We hear you. Your feedback has been noted and passed onto the team /NQ
818309,@SpotifyCares This seems to have gotten it to work.However I am slightly disappointed in the feature disparity. groove' superior presentation,"@314912 We're glad it's working now. Don't worry, we'll make sure to pass your feedback on to the team. Thanks for sharing your thoughts! /RH"
2125256,"@SpotifyCares The band hasn't made an album since 2008 and disbanded in 2013, I can't imagine why there would be a sudden issue with music that has been on Spotify for literal years.","@377984 We hear you 🎧 Rest assured, your feedback will be passed on to the right folks /KL"
535327,@SpotifyCares my friend cant afford to buy premium and wants to know if you love her regardless. How do you feel?,"@224650 Hi Alfie! Aaw, that's nice to hear. Your friend can get awesome deals here: https://t.co/Gp5xcUoTsa. Give us a shout if you need anything else 😍 /AD"
2038955,@SpotifyCares It updated yesterday so the latest. I can’t remember if I’ve tried from my phone. Will do,"@19263 Cool, thanks! Let us know if using your phone makes any difference. Could you also try completely reinstalling the app on your Mac: https://t.co/cxGHt0bCR8? We'll be right here waiting 🙂 /Q"
1152029,@SpotifyCares wifi. I try playing music directly on the @137949,"@391110 Can you let us know the device, OS, and Spotify version you're rocking? /QI"
1193123,@SpotifyCares someone just dm’d me back hahah,"@400362 Hmm. That's odd. If you could DM us your account's email address, we'd be happy to help /AN https://t.co/ldFdZRiNAt"
1873168,@SpotifyCares How do I cancel my brother's Spotify account He died 11May2017. His account is still paying Spotify. I am executor of his will,"@559309 Hey Ted, sorry for your loss. Could you DM us his account's email address or username? We'll take a look backstage /AY https://t.co/ldFdZRiNAt"
1711775,@SpotifyCares Still not working :(,@518511 Got it. We have some info about this in the Community at https://t.co/trMNTtmZi1. Let us know if you have any other questions /NY
